question	i
18	0
14	1
18	2
16	3
18	4
16	5
14	6
18	7
16	8
16	9
10	10
16	11
12	12
14	13
18	14
10	15
8	16
6	17
8	18
10	19
16	20
10	21
12	22
20	23
20	24
10	25
10	26
10	27
20	28
12	29
8	30
16	31
8	32
10	33
10	34
18	35
20	36
10	37
10	38
6	39
6	40
10	41
6	42
10	43
8	44
6	45
16	46
6	47
10	48
6	49
10	50
20	51
6	52
10	53
10	54
6	55
10	56
8	57
10	58
10	59
10	60
10	61
10	62
10	63
10	64
16	65
6	66
10	67
14	68
10	69
10	70
10	71
8	72
10	73
6	74
6	75
8	76
10	77
8	78
8	79
8	80
10	81
10	82
8	83
10	84
10	85
8	86
10	87
10	88
10	89
8	90
6	91
6	92
8	93
16	94
10	95
10	96
6	97
10	98
18	99
10	100
10	101
10	102
10	103
8	104
10	105
10	106
10	107
8	108
10	109
10	110
8	111
8	112
10	113
6	114
8	115
8	116
12	117
10	118
10	119
8	120
4	121
6	122
10	123
8	124
8	125
10	126
8	127
6	128
2	129
8	130
8	131
16	132
10	133
6	134
8	135
8	136
10	137
6	138
8	139
10	140
8	141
10	142
8	143
16	144
8	145
18	146
10	147
6	148
20	149
10	150
10	151
6	152
8	153
8	154
10	155
10	156
10	157
10	158
10	159
8	160
10	161
8	162
10	163
14	164
6	165
10	166
10	167
8	168
6	169
10	170
8	171
10	172
10	173
8	174
2	175
10	176
10	177
18	178
6	179
16	180
10	181
8	182
2	183
10	184
10	185
10	186
10	187
10	188
10	189
8	190
2	191
4	192
10	193
10	194
10	195
8	196
10	197
20	198
10	199
10	200
8	201
10	202
2	203
10	204
6	205
8	206
8	207
10	208
2	209
2	210
4	211
10	212
10	213
6	214
2	215
6	216
8	217
10	218
10	219
10	220
8	221
10	222
8	223
10	224
10	225
6	226
6	227
10	228
8	229
10	230
16	231
18	232
10	233
6	234
8	235
6	236
8	237
10	238
10	239
10	240
8	241
2	242
10	243
10	244
10	245
6	246
10	247
10	248
10	249
4	250
10	251
6	252
10	253
10	254
6	255
10	256
8	257
6	258
8	259
8	260
4	261
10	262
8	263
10	264
6	265
10	266
6	267
10	268
8	269
10	270
10	271
10	272
18	273
8	274
8	275
10	276
8	277
8	278
16	279
6	280
6	281
8	282
6	283
10	284
4	285
10	286
8	287
10	288
8	289
10	290
8	291
8	292
8	293
8	294
10	295
8	296
10	297
6	298
10	299
8	300
10	301
10	302
10	303
10	304
8	305
8	306
8	307
8	308
10	309
10	310
10	311
10	312
10	313
8	314
10	315
10	316
10	317
10	318
6	319
10	320
8	321
10	322
10	323
10	324
10	325
2	326
8	327
8	328
10	329
10	330
10	331
10	332
10	333
6	334
10	335
8	336
8	337
8	338
8	339
6	340
6	341
8	342
10	343
10	344
6	345
10	346
10	347
8	348
16	349
10	350
10	351
10	352
10	353
10	354
14	355
4	356
8	357
6	358
10	359
8	360
4	361
4	362
8	363
8	364
8	365
8	366
6	367
10	368
10	369
6	370
8	371
10	372
10	373
8	374
10	375
8	376
20	377
8	378
10	379
6	380
10	381
8	382
10	383
10	384
6	385
10	386
10	387
10	388
8	389
6	390
16	391
10	392
6	393
10	394
10	395
6	396
10	397
6	398
8	399
10	400
8	401
8	402
6	403
8	404
6	405
10	406
8	407
6	408
8	409
14	410
10	411
6	412
8	413
8	414
6	415
10	416
8	417
10	418
10	419
10	420
6	421
6	422
8	423
10	424
4	425
10	426
6	427
10	428
10	429
8	430
10	431
8	432
22	433
2	434
16	435
14	436
8	437
16	438
6	439
6	440
24	441
6	442
10	443
20	444
10	445
10	446
10	447
10	448
10	449
10	450
10	451
6	452
8	453
8	454
6	455
8	456
6	457
8	458
8	459
10	460
10	461
8	462
8	463
8	464
8	465
8	466
8	467
8	468
10	469
10	470
8	471
10	472
8	473
8	474
10	475
10	476
6	477
8	478
10	479
6	480
8	481
4	482
10	483
10	484
8	485
8	486
16	487
8	488
6	489
14	490
10	491
10	492
8	493
6	494
10	495
10	496
14	497
10	498
8	499
10	500
10	501
10	502
16	503
10	504
10	505
10	506
2	507
10	508
8	509
8	510
6	511
10	512
26	513
10	514
6	515
8	516
10	517
6	518
6	519
10	520
8	521
8	522
8	523
2	524
10	525
8	526
10	527
10	528
6	529
10	530
6	531
10	532
10	533
10	534
10	535
8	536
10	537
10	538
8	539
10	540
10	541
6	542
6	543
10	544
10	545
10	546
10	547
6	548
6	549
10	550
10	551
8	552
10	553
10	554
10	555
8	556
10	557
10	558
10	559
6	560
8	561
10	562
10	563
8	564
10	565
10	566
8	567
10	568
6	569
8	570
10	571
10	572
4	573
8	574
